date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2023-11-28;1.09593;1.09571;1.09591;1.09571;1.09571;1.09591;true;0.00022;1.09629;1.09512;1.0962399999999999;1.09518;1.09531;true;true;true;true;true;false;false;1701129600000000;1701131100000000;1701129600000000;09:00 - 09:30;true;false;false;;;1.09512;1.09629;1.09533;1.09629;1701137400000000;1701138900000000;true;11:30 - 12:00;11:00 - 11:30;2.6;-1.7;2.7;-2.6;0.0;1.0;-1.8;-2.6;2.7
2023-11-29;1.10056;1.1001;1.1004099999999999;1.10014;1.1004099999999999;1.10039;false;0.00046;1.10171;1.09967;1.10153;1.09973;1.10012;true;true;true;true;true;false;false;1701219300000000;1701216000000000;1701216000000000;09:00 - 09:30;false;false;false;;;1.09967;1.10171;1.10171;1.09967;1701219600000000;1701231600000000;true;13:00 - 13:30;10:00 - 10:30;-0.9;3.5;-1.0;3.5;0.6;0.6;0.0;-1.0;3.5
2023-11-30;1.09737;1.09721;1.09734;1.09723;1.09726;1.09734;true;0.00016;1.09839;1.09671;1.09826;1.09689;1.09692;true;true;true;true;true;false;false;1701303300000000;1701309000000000;1701303300000000;09:00 - 09:30;true;false;false;1.0972;1.09743;1.09671;1.09839;1.09733;1.09839;1701303600000000;1701305700000000;true;09:30 - 10:00;09:00 - 09:30;7.3;0.8;7.4;-3.1;0.4;0.9;-1.8;-3.1;7.4
2023-12-01;1.08944;1.08911;1.0894;1.08915;1.08931;1.08915;false;0.00033;1.09127;1.08915;1.09125;1.08915;1.09085;true;false;true;false;true;true;true;1701388800000000;;1701388800000000;09:00 - 09:30;true;true;true;;;1.08942;1.09127;1.08942;1.09127;1701389100000000;1701398400000000;true;11:30 - 12:00;09:00 - 09:30;6.5;1.0;6.6;1.0;0.7;0.2;5.3;0.2;6.6
2023-12-04;1.08949;1.0885799999999999;1.08931;1.08859;1.08931;1.08859;false;0.00091;1.08867;1.08665;1.08859;1.08684;1.08697;false;true;false;true;true;true;true;;1701648000000000;1701648000000000;09:00 - 09:30;false;true;true;;;1.08665;1.0885799999999999;1.08844;1.08665;1701649200000000;1701653700000000;false;10:30 - 11:00;09:00 - 09:30;-2.1;-0.2;-2.2;0.0;0.8;0.0;-1.8;-2.2;0.0
2023-12-05;1.08377;1.08351;1.08376;1.08354;1.08365;1.08372;true;0.00026;1.08462;1.08344;1.08445;1.08352;1.08429;true;true;true;false;true;true;false;1701734700000000;;1701734700000000;09:00 - 09:30;true;true;true;1.08362;1.08382;1.08344;1.08462;1.08382;1.08462;1701735600000000;1701736500000000;false;09:30 - 10:00;09:00 - 09:30;4.2;1.2;4.3;-0.2;0.6;0.9;3.1;-0.2;4.3
2023-12-06;1.0794;1.07906;1.07933;1.07907;1.07924;1.07933;true;0.00034;1.07997;1.07879;1.07993;1.07895;1.07965;true;true;true;true;true;false;false;1701821700000000;1701825900000000;1701821700000000;09:00 - 09:30;true;false;true;1.07917;1.07945;1.07879;1.07997;1.07879;1.07997;1701826200000000;1701836100000000;true;13:00 - 13:30;10:30 - 11:00;2.6;-0.7;2.7;-0.7;0.6;0.8;1.8;-0.7;2.7
2023-12-07;1.07669;1.07645;1.07668;1.07649;1.07662;1.07662;false;0.00024;1.07723;1.07569;1.07714;1.0758;1.0759;true;true;true;true;true;false;false;1701907200000000;1701917100000000;1701907200000000;09:00 - 09:30;true;false;false;;;1.07569;1.07723;1.07655;1.07723;1701908400000000;1701909300000000;true;09:30 - 10:00;09:00 - 09:30;3.2;0.5;3.3;-3.1;0.8;0.8;-2.2;-3.1;3.3
2023-12-08;1.07922;1.07894;1.07915;1.07896;1.07907;1.07896;false;0.00028;1.08007;1.07822;1.07976;1.07829;1.07869;true;true;true;true;true;false;false;1701994800000000;1701998400000000;1701994800000000;09:00 - 09:30;true;false;false;1.07884;1.07929;1.07822;1.08007;1.07906;1.08007;1701995400000000;1701997200000000;true;10:00 - 10:30;09:30 - 10:00;4.0;0.5;4.1;-2.5;0.5;0.1;-0.8;-2.5;4.1
2023-12-11;1.07657;1.07623;1.07651;1.07637;1.0764799999999999;1.07651;true;0.00034;1.0774;1.07608;1.07729;1.07613;1.07654;true;true;true;true;true;false;false;1702252800000000;1702268400000000;1702252800000000;09:00 - 09:30;true;false;false;;;1.07608;1.0774;1.0765;1.0774;1702253400000000;1702258500000000;true;10:30 - 11:00;09:00 - 09:30;3.4;0.8;3.5;-0.4;0.8;0.9;1.0;-0.4;3.5
